temp,Name
42.8153,Lander
42.8153,Lander
41.1519,Cheyenne
41.1519,Cheyenne
44.9258,Wausau
44.9258,Wausau
46.0261,Hayward
46.0261,Hayward
44.8664,EauClaire
44.8664,EauClaire
46.5486,Ashland
46.5486,Ashland
42.955,Milwaukee
42.955,Milwaukee
43.1406,Madison
43.1406,Madison
43.8789,LaCrosse
43.8789,LaCrosse
43.8789,LaCrosse
43.8789,LaCrosse
44.4983,GreenBay
37.2958,Bluefield
37.2958,Bluefield
39.6428,Morgantown
39.6428,Morgantown
40.1764,Wheeling
40.1764,Wheeling
38.365,Huntington
38.365,Huntington
38.365,Huntington
38.3794,Charleston
38.3794,Charleston
38.3794,Charleston
37.7836,Beckley
37.7836,Beckley
45.6208,Vancouver
45.6208,Vancouver
46.7439,Pullman
46.7439,Pullman
46.7439,Pullman
46.2667,TriCities
46.2667,TriCities
47.6217,Spokane
47.4444,Seattle
47.4444,Seattle
37.505,Richmond
37.505,Richmond
36.9033,NorfolkVA
36.9033,NorfolkVA
37.3208,Lynchburg
37.3208,Lynchburg
44.4683,Burlington
44.4683,Burlington
40.7781,SaltLakeCity
40.7781,SaltLakeCity
30.5892,CollegeStation
30.5892,CollegeStation
29.5442,SanAntonio
29.5442,SanAntonio
29.5442,SanAntonio
29.98,Houston
29.98,Houston
29.2733,Galveston
29.2733,Galveston
31.8111,ElPaso
31.8111,ElPaso
32.8978,DallasFortWorth
32.8978,DallasFortWorth
32.8978,DallasFortWorth
32.8978,DallasFortWorth
27.8,CorpusChristi
27.8,CorpusChristi
30.3208,Austin
30.3208,Austin
35.2333,Amarillo
35.2333,Amarillo
32.4106,Abilene
32.4106,Abilene
36.1189,Nashville
36.1189,Nashville
35.0564,Memphis
35.0564,Memphis
35.0311,Chattanooga
35.0311,Chattanooga
43.7667,Mitchell
43.7667,Mitchell
43.5878,SiouxFalls
44.3981,Huron
45.4558,Aberdeen
33.55,Aiken
33.55,Aiken
34.8461,GreenvilleSpartanburg
34.8461,GreenvilleSpartanburg
33.9486,ColumbiaSC
33.9486,ColumbiaSC
41.2433,Williamsport
41.2433,Williamsport
40.4847,Pittsburgh
40.4847,Pittsburgh
40.4847,Pittsburgh
39.8683,Philadelphia
39.8683,Philadelphia
40.1936,MiddletownHarrisburg
40.1936,MiddletownHarrisburg
40.1936,MiddletownHarrisburg
42.08,Erie
42.08,Erie
42.1469,KlamathFalls
42.1469,KlamathFalls
45.5181,Portland
45.5181,Portland
44.905,Salem
45.6906,Pendleton
45.6906,Pendleton
44.1278,EUGENE
44.1278,EUGENE
46.1569,Astoria
46.1569,Astoria
36.1625,Stillwater
36.1625,Stillwater
36.1994,Tulsa
36.1994,Tulsa
35.3889,Oklahoma
35.3889,Oklahoma
39.9444,Zaneville
39.9444,Zaneville
41.5886,Toledo
41.5886,Toledo
41.5886,Toledo
39.9061,Dayton
39.9061,Dayton
39.9914,ColumbusOH
39.9914,ColumbusOH
41.5175,Cleveland
41.5175,Cleveland
39.1033,Cincinnati
39.1033,Cincinnati
40.9167,Akron
40.9167,Akron
48.1739,Williston
48.1739,Williston
47.9428,GrandForks
47.9428,GrandForks
46.9253,Fargo
46.9253,Fargo
46.7708,Bismarck
35.8922,Raleigh
35.8922,Raleigh
35.2236,Charlotte
35.2236,Charlotte
35.2325,CapeHatteras
35.2325,CapeHatteras
35.4319,Asheville
35.4319,Asheville
35.4319,Asheville
43.35,GlensFalls
43.35,GlensFalls
43.1167,RochesterNY
43.1167,RochesterNY
40.7789,NewYork
42.9486,Buffalo
42.9486,Buffalo
42.7431,Albany
42.7431,Albany
33.3075,Roswell
33.3075,Roswell
36.4486,Clayton
35.0419,Albuquerque
40.8292,Belvidere
40.8292,Belvidere
40.4728,NewBrunswick
40.4728,NewBrunswick
40.4728,NewBrunswick
40.2769,Trenton
40.2769,Trenton
40.2769,Trenton
42.9333,Manchester
42.9333,Manchester
42.9333,Manchester
42.9333,Manchester
43.1953,Concord
43.1953,Concord
40.9017,Winnemucca
40.9017,Winnemucca
39.4839,Reno
39.4839,Reno
39.2953,Ely
40.8289,Elko
40.2064,McCook
40.2064,McCook
40.2064,McCook
40.2064,McCook
40.6044,Hastings
40.6044,Hastings
42.8783,Valentine
41.8706,Scottsbluff
41.3103,Omaha
41.3103,Omaha
41.3103,Omaha
41.3103,Omaha
41.9856,NorfolkNE
41.9856,NorfolkNE
41.1214,NorthPlatte
41.1214,NorthPlatte
40.8508,Lincoln
40.8508,Lincoln
40.8508,Lincoln
40.8508,Lincoln
40.8508,Lincoln
40.9611,GrandIsland
40.9611,GrandIsland
40.9611,GrandIsland
46.9208,Missoula
46.9208,Missoula
46.6056,Helena
46.6056,Helena
48.5428,Havre
48.5428,Havre
47.4733,GreatFalls
47.4733,GreatFalls
48.2138,Glasgow
48.2138,Glasgow
38.5911,Jefferson
38.5911,Jefferson
38.7525,StLouis
38.7525,StLouis
37.2353,SpringfieldMO
37.2353,SpringfieldMO
37.2353,SpringfieldMO
39.2972,KansasCity
39.2972,KansasCity
39.2972,KansasCity
38.8169,ColumbiaMO
30.4119,Gulfport
30.4119,Gulfport
30.4119,Gulfport
31.2819,Hattiesburg
31.2819,Hattiesburg
32.3347,Meridian
32.3347,Meridian
32.3206,Jackson
32.3206,Jackson
45.5433,SaintCloud
45.5433,SaintCloud
43.9042,RochesterMN
44.8831,Minneapolis
44.8831,Minneapolis
44.8831,Minneapolis
48.5614,InternationalFalls
46.8369,Duluth
46.8369,Duluth
42.2347,Kalamazoo
42.2347,Kalamazoo
43.5331,Saginaw
46.4794,SaultSteMarie
43.1711,Muskegon
46.5311,Marquette
46.5311,Marquette
42.7803,Lansing
42.7803,Lansing
42.7803,Lansing
42.7803,Lansing
42.8939,GrandRapids
42.8939,GrandRapids
42.8939,GrandRapids
42.2314,Detroit
42.2314,Detroit
42.2314,Detroit
42.2706,Worcester
42.2706,Worcester
42.2122,Milton
42.3606,Boston
42.3606,Boston
39.1836,Baltimore
39.1836,Baltimore
43.6497,PortlandME
43.6497,PortlandME
31.8142,Natchitoches
31.8142,Natchitoches
32.5156,Monroe
32.5156,Monroe
32.4506,Shreveport
32.4506,Shreveport
30.125,LakeCharles
30.125,LakeCharles
30.125,LakeCharles
30.5372,BatonRouge
30.5372,BatonRouge
38.1811,Louisville
38.1811,Louisville
38.1811,Louisville
38.1811,Louisville
38.1811,Louisville
38.0408,Lexington
39.0725,Topeka
39.0725,Topeka
39.3669,Goodland
37.7608,DodgeCity
37.7608,DodgeCity
39.5514,Concordia
41.8833,CedarRapids
41.8833,CedarRapids
43.1644,Spencer
43.1644,Spencer
42.5544,Waterloo
42.5544,Waterloo
42.3914,SiouxCity
42.3914,SiouxCity
42.3978,Dubuque
42.3978,Dubuque
41.5339,DesMoines
41.5339,DesMoines
41.7072,SouthBend
39.7075,Indianapolis
39.7075,Indianapolis
40.9706,FortWayne
40.9706,FortWayne
38.0442,Evansville
39.8447,Springfield
39.8447,Springfield
42.1928,Rockford
42.1928,Rockford
40.6675,Peoria
40.6675,Peoria
40.6675,Peoria
41.4653,Moline
41.4653,Moline
41.4653,Moline
41.4653,Moline
41.4653,Moline
41.4653,Moline
41.995,Chicago
41.995,Chicago
41.995,Chicago
41.995,Chicago
46.3747,Lewiston
46.3747,Lewiston
43.5667,Boise
43.5667,Boise
32.13,Savannah
32.13,Savannah
32.13,Savannah
32.6847,Macon
32.6847,Macon
32.6847,Macon
32.5161,ColumbusGA
32.5161,ColumbusGA
33.3644,Augusta
33.3644,Augusta
33.3644,Augusta
33.63,Atlanta
33.63,Atlanta
33.9481,Athens
33.9481,Athens
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
26.6847,WestPalmBeach
27.9619,Tampa
27.9619,Tampa
27.9619,Tampa
30.3975,Tallahassee
30.3975,Tallahassee
30.4781,Pensacola
30.4781,Pensacola
28.4339,Orlando
28.4339,Orlando
25.7906,Miami
25.7906,Miami
24.555,KeyWest
24.555,KeyWest
30.4844,Jacksonville
30.4844,Jacksonville
29.6919,Gainesville
29.6919,Gainesville
29.6919,Gainesville
29.6919,Gainesville
29.6919,Gainesville
26.585,FortMyers
38.8483,WashingtonDC
38.8483,WashingtonDC
39.6728,Wilmington
39.6728,Wilmington
39.6728,Wilmington
38.29,Pueblo
38.29,Pueblo
39.1342,GrandJunction
39.1342,GrandJunction
39.8328,Denver
39.8328,Denver
39.8328,Denver
38.81,ColoradoSprings
38.81,ColoradoSprings
41.7803,CrescentCity
